question,answer,notes,tags
What is the difference between a class and a struct?,"1) Structs are value types and classes are reference types. 2) Structs don't support inheritance, although they can implement interfaces. 3) Structs can't have destructors. 4) Unlike classes, structs always have a parameterless constructor, even if we don't define it explicitly. ","Use structs when the type is logically small, the type is small in memory, the type is immutable, the type is commonly embedded in other objects, we want value type semantics, the struct won't be boxed.",
What are partial classes?,"Partial classes are classes that are split over two or more source files. All parts are combined when the application is compiled. it is also possible to declare partial structs, interfaces, and methods.",It makes the source class easy to work with in big projects. Static classes can be partial classes,
"What does the ""new"" keyword do?","It can be used in three contexts: 1) The new operator, which creates a new instance of a type. 2) The new modifier, which is used to explicitly hide a member method from a base class in the derived class. 3) The new constraint, which specifies that a type argument in a generic class must have a parameterless constructor.",,
"What is the purpose of the ""static"" keyword?","It can be used in two contexts: 1) static modifier, used to define static classes, as well as static members in classes, structs, and records. 2) using static directive, used to reference static members without needing to explicitly specify their name every time.",You cannot have static structs or records. Any modification made to a static member is reflected across all instances of a non-static class,
What is a static class?,A static class is a class that cannot be instantiated and can only contain static method. It can work as a container for methods that just operate on input parameters and do not have to get or set any internal instance fields.,A static class can have a unique constructor called static constructor to initialize static fields.,
What is the purpose of the ternary conditional operator?,"it's a shorter syntax for the if-else clause. It evaluates a boolean expression and returns the result of one of the two expressions, depending on whether the boolean expression evaluates true or false.",,
What is the purpose of the null coalescing and null conditional operators?,"The null coalescing operator returns the left-hand operand if it's value is not null, otherwise, it return the right-hand operand. The null conditional operator is used when we want to access a member of an object only if this object is not null, otherwise it will return/assign null by default instead of throwing NullReferenceException.",There is also the null coalescing assignment operator ??=. This operator will assign a value only if the variable is null,
What is encapsulation?,"It means bundling of data with methods that operate on that data all together, and restricting access to internal state.",Encapsulation is not the same as data hiding,
What is LINQ?,LINQ is a set of technologies that allow simple and efficient querying over different kinds of data.,LINQ provider is any class that implements IQueryProvider and IQueryable,
What are extension methods?,"An extension method is a method defined outside a class, that can be called upon this class' object as a regular member method. Extension methods allow you to add new functionality to a class without modifying it.",Member methods has priority over an extension method,
What is IEnumerable?,IEnumerable is an interface that enables iterating over a collection with a foreach loop,If we want to prevent the modifying of a collection we can return it as IEnumerable or any other readonly collection type,
What is the difference between the equality operator (==) and Equals?,"In the most common scenario == compares objects by reference while Equals is overridden to compare them by content. Both can have custom implementations for any type, so this behavior may vary. ",The default for reference type is always comparing by reference. == is not supported by value types by it can be overloaded,
What is the difference between deep copy and shallow copy?,"When creating a shallow copy, value type members will be copied, but only a reference will be copied for reference types. For deep copying also the reference types will be copied into new objects",,
What is the Garbage Collector?,"The Garbage Collector is a mechanism that manages the memory used by the application. If an object is no longer used, the Garbage Collector will free the memory it occupies. The Garbage Collector is also responsible for defragmenting the application's memory.",Memory leaks happen when memory is not freed even if an object is no longer used. GC does not guarantee protection from them.,
What are nullable types?,"Nullable type is any type that can be assigned a value of null, Nullable<T> struct is a wrapper for a value types allowing assigning null to the variable of this type. For example, we can't assign null to an integer, but we can to a variable of type Nullable<int>",Nullable struct has a constraint on T that requires T to be a value type,
What is a property?,"A property is a member that provides a mechanism of reading, writing, or computing a value of a private field","The benefits of using a property are encapsulation, custom behavior on reading and writing, different access modifier for reading and writing. Also, properties can be calculated basing on other data.",
What are generics?,"Generics classes or methods are parametrized by type - like, for example, a List<T> that can store any type of elements.",Type constraints allow limiting the usage of generic type only to the types that meet specific criteria.,
"What is the difference between the ""const"" and the ""readonly"" modifiers?","1) Const fields are assigned at compile time. Readonly fields can be assigned at runtime, in the constructor. 2) Const can only be numbers, booleans, strings or a null reference, readonly values can be anything. 3) Const can't be declared as static, because they are implicitly static. Readonly values can be static.",Use const when the value is known at compile time. And readonly when the value is known at runtime.,
"What is the difference between the ""ref"" and the ""out"" keywords?","ref passes the value type to a method by reference, which means any modifications of this value inside this method will be visible outside this method. out is a way of returning extra variables from a method.",we can use out to return more than one parameter. Consider split first,
What is the difference between an interface and an abstract class?,"An interface defines what set of operations will be provided by any class implementing it - it does not provide any implementation on its own. An abstract class is like a general blueprint, for derived classes. It may provide implementations of methods, contain fields, etc.",Abstract classes with private constructor has no sense since abstract classes are meant to be inherited,
What is polymorphism?,"One thing many forms. One interface, many implementations. Same method name behaves differently depending on the object.","There are two types of polymorphism: Overloading, at compile time, same name different parameters and Overriding, runtime, redefine parent's method",
What's the difference between a virtual method and an abstract method?,A virtual method is a method that may be overridden in the derived class. And abstract method must be overridden (unless the derived class is abstract itself).,All abstract methods are implicitly virtual. You can use sealed keyword with the derived method to prevent further overriding.,
What is the method overloading?,"Method overloading is having a class with multiple methods with the same name, that differ only in parameters.",We can overload methods with optional parameters but the method with no optional parameter will be used because its signature is closest to what was called.,
What is the difference between method overriding and method hiding?,"Method overriding happens when the derived class provides its own implementation of a virtual or abstract method from a base class. Method hiding happens when there is a method in the derived class with the same name as the method in the base class, that does not override the base class method.",Method hiding can help us to provide for example our own implementation of an external library's method. NOTE: it will be taken if we called it directly if not the virtual will be used.,
Does C# support multiple inheritance?,"No, C# does not support multiple inheritance. It does support implementing multiple interfaces, though.","The diamond problem is an ambiguity that arises when class D is derived from classes B and C, which both derive from class A. When both classes B and C override a method from class A, then it is ambiguous which would be used when this method is called on an object of class D.",
What is DRY principle?,"It stands for ""Don't Repeat Yourself"" and it means that we shouldn't have multiple places where pieces of business knowledge are defined. Also, DRY is commonly considered a rule of avoiding code duplication.","A piece of business knowledge shouldn't be duplicated so, it is not necessary code duplication but some rules duplicated.",
"What is the ""magic number"" antipattern?",A magic number is an unnamed hard-coded value used directly in the code.,,
"Why is using the ""goto"" keyword considered a bad practice?","The goto statement transfers the program execution directly to a labeled statement. Using it widely considered a bad practice, as it increases the complexity of the code. The flow of the program is tricky to follow, making reading and debugging the code harder. Also, it can lead to the unintentional creation of infinite loops.",We can use it to break out from nested loops when cleaning up logic and reviewing performance optimizations. Not as final implementation,
"What is the ""spaghetti code""?","it is a pejorative term used to describe code that is messy, tangled, and hard to maintain","Lasagna code is a code whose layers are complicated and so are the interactions between them. Making a change in one layer heavily affects other layers. Long code is not an issue. Tangled, messy and complicated code is.",
What is the Singleton design pattern?,"Singleton is a class that only allows creating a single instance of itself, and exposes simple access to that instance","Singleton is considered an antipattern because it is a piece of the global state, and the global state is hard to control. The global state is a hidden dependency.",
What is the Builder design pattern?,Builder is a design pattern that allows the step-by-step construction of complex objects,We can provide the parameters of the object we want to build incrementally. It improves readability.,
What is the Adapter design pattern?,Adapter is a design pattern that allows converting an interface of class to the interface expected by a client.,,
What is the Bridge design pattern?,"The bridge design pattern allows us to split an inheritance hierarchy into a set of hierarchies. It is the implementation of ""composition over inheritance"" principle","The ""composition over inheritance"" principle states that it is better to introduce new features to a class by extending what this class contains, instead of extending the inheritance hierarchy.",
What is the Factory Method design pattern?,"Factory Method design pattern allows us to define an interface for creating objects of a general base type, without specifying what subtype exactly will be created.",The static factory method allows us to achieve more readable code and it is different from factory method design pattern,
"What is the ""S"" in the SOLID principles?",Single responsibility principle. This principle states that a class should be responsible for only one thing. Sometimes the alternative definition is used: that a class should have no more than one reason to change.,"SRP gives us smaller, more cohesive and more readable classes, reusable code, easy maintenance of the code ",
"What is the ""O"" in the SOLID principles?","Open-Closed principle states that modules, classes, and functions should be open for extension, but closed for modification",It can provide a safer way to modify code while keeping functionality,
"What is the ""L"" in the SOLID principles?","Liskov Substitution principle states that we should be able to use a derived type in place of a base without knowing it, and it should not lead to any unexpected results.",,
"What is the ""I"" in the SOLID principles?",Interface Segregation principle states that clients of an interface should not be forced to depend on methods they don't use.,,
"What is the ""D"" in the SOLID principles?",Dependency Inversion principle states that high-level modules should not depend on low-level modules. Both should depend on abstractions.,The LSP tell us how to implement the interface of a base type. The ISP tells us if we should implement this interface at all.,
When you would use a struct?,When the objects of this type will be commonly short-lived. And when the object will be immutable.,"Structs work best for small, immutable types that are created and discarded frequently, such as coordinates or dates.",
