"question","answer","notes","tags"
"What are records and record structs?","Records (C# 9) and record structs (C# 10) are reference and value types, respectively, that come with built-in value-based equality, a generated ToString, and support for non-destructive mutation via the ""with"" keyword.","""Positional records"" auto-generate a constructor, properties, and a Deconstruct method from a concise one-line declaration.","csharp,records,csharp9"
"Why does string behave like a value type even though it is a reference type?","string is technically a reference type, but because it's immutable, any operation that appears to modify it actually creates a new string object, giving it value-type-like behavior in practice.","String interning lets equal string literals share the same underlying object to save memory, which is only safe because strings are immutable.","csharp,strings,reference-types"
"What is the difference between string and StringBuilder?","string is immutable, so repeated concatenation creates a new object each time; StringBuilder is mutable and designed for efficiently building up large strings incrementally, such as inside a loop.","For a single concatenation, a plain string is fine; StringBuilder pays off once you're doing many repeated appends.","csharp,strings,performance"
"What is operator overloading?","Operator overloading lets a type define custom behavior for operators (+, -, ==, etc.) using the ""operator"" keyword, including implicit and explicit conversion operators.","Explicit conversions require an explicit cast in code; implicit conversions happen automatically.","csharp,operators,syntax"
"What are anonymous types?","Anonymous types are compiler-generated, unnamed reference types created with ""new { ... }"" that hold a fixed set of read-only properties, commonly used for temporary projections in LINQ queries.","Two anonymous objects with identical property values and order are considered equal via Equals despite being different instances.","csharp,linq,types"
"What is cohesion?","Cohesion describes how closely related and focused the responsibilities of a single module or class are; high cohesion means related data and behavior are grouped together.","High cohesion often correlates with, but isn't identical to, following the Single Responsibility Principle.","csharp,design-principles,architecture"
"What is coupling?","Coupling describes how much one module or class depends on the internal details of another; low (loose) coupling makes a codebase easier to change and test.","The Dependency Inversion Principle — depend on abstractions, not concretions — is a key technique for reducing coupling.","csharp,design-principles,solid"
"What is the Strategy design pattern?","The Strategy pattern defines a family of interchangeable algorithms behind a common interface, letting the concrete algorithm be selected or swapped at runtime.","It decouples the code that varies (the algorithm) from the code that stays the same (the code that uses it).","csharp,design-patterns,strategy"
"What is the Dependency Injection design pattern?","Dependency Injection is a technique where a class receives (is ""injected with"") the objects it depends on from the outside, typically via its constructor, rather than creating them itself.","DI is what makes it practical to swap in mock implementations for unit testing.","csharp,dependency-injection,design-patterns"
"What is the Template Method design pattern?","The Template Method pattern defines the overall skeleton of an algorithm in a base class while letting subclasses override specific steps of that algorithm.","Unlike Strategy, which uses composition and runtime selection, Template Method uses inheritance and is fixed at compile time.","csharp,design-patterns,template-method"
"What is the Decorator design pattern?","The Decorator pattern lets you add new behavior to an object dynamically by wrapping it in one or more decorator objects that implement the same interface.","It supports the Open-Closed Principle, since existing classes don't need to be modified to add functionality.","csharp,design-patterns,decorator"
"What is the Observer design pattern?","The Observer pattern lets one object (the Observable or Subject) automatically notify a set of subscribed objects (Observers) whenever its state changes.","In .NET, events are the built-in language mechanism for implementing this pattern.","csharp,design-patterns,observer"
"What are events?","Events are .NET's language-level implementation of the Observer pattern, built on delegates, letting a class publish notifications that other code can subscribe to and react on.","Unlike a public delegate field, an event can only be raised from within the declaring class; forgetting to unsubscribe can also leak memory by keeping the subscriber alive.","csharp,events,delegates"
"What is Inversion of Control?","Inversion of Control is a design principle where the flow of control is handed over to a framework or container, which calls into your code at defined extension points, rather than your code driving everything itself.","Dependency Injection is one common technique for implementing IoC, and it's what distinguishes a framework from a plain library.","csharp,inversion-of-control,architecture"
"What is the ""composition over inheritance"" principle?","""Composition over inheritance"" favors building types by combining smaller objects (composition) rather than through class hierarchies, since composition tends to be more flexible and avoids fragile base-class problems.","Relying purely on composition can make genuine ""is-a"" relationships awkward, sometimes leading to lots of thin forwarding methods.","csharp,design-principles,composition"
"What are mocks?","Mocks are fake, controllable stand-ins for real dependencies used in unit tests, letting you verify interactions and control returned values without invoking real implementations.","Mocking generally requires Dependency Injection so real dependencies can be swapped for mocks in tests.","csharp,testing,mocking"
"What are NuGet packages?","NuGet packages are the standard way to distribute and consume reusable, precompiled .NET code and libraries, installed and restored via the NuGet package manager or ""dotnet restore"".","Before writing something generic yourself, it's usually worth checking whether a NuGet package already solves it.","csharp,nuget,ecosystem"
"What is the difference between Debug and Release builds?","Debug builds skip compiler optimizations and keep full symbol information, making step-through debugging accurate; Release builds apply optimizations for smaller, faster output at the cost of debuggability.","You can gate code to run only in one configuration using #if DEBUG / #if RELEASE preprocessor directives.","csharp,build-configuration,debugging"
"What are preprocessor directives?","Preprocessor directives (like #if, #define, #region, #pragma) are instructions processed before compilation that can conditionally include code, define symbols, or suppress specific compiler warnings.","Example: #pragma warning disable CA2200 turns off a specific compiler warning by its code.","csharp,preprocessor,compiler"
"What are nullable reference types?","Nullable reference types (C# 8) let the compiler track and warn about reference variables that might be null, extending to reference types the kind of nullability annotations value types already had with Nullable<T>.","It's a compile-time analysis feature based on warnings, not a runtime enforcement mechanism — null checks can still be bypassed.","csharp,nullable-reference-types,csharp8"
